[5, 84, 0.14919035, 0.31986383, 0.37183422, 1.1624767]
[10, 84, 0.12080926, 0.24359871, 0.28294384, 1.1615162]
[15, 84, 0.16105631, 0.32235435, 0.34887454, 1.0822703]
[20, 84, 0.14346974, 0.27989498, 0.24261761, 0.86681658]
[25, 84, 0.12092932, 0.26976612, 0.26980725, 1.0001525]
[30, 84, 0.13395818, 0.2381867, 0.25286755, 1.0616359]
[35, 84, 0.11057778, 0.22380668, 0.24301074, 1.0858065]
[40, 84, 0.094519615, 0.20362902, 0.19920453, 0.97827184]
[45, 84, 0.11375815, 0.2546804, 0.25297916, 0.99332011]
[50, 84, 0.093566403, 0.20658843, 0.19286573, 0.93357468]
